ts,cpu_pct,rss_mb,threads,disk_read_mb_s,disk_write_mb_s,fs_free_gb,wal_mb,duckdb_mb,records_total,ingest_lag_mb,wal_depth
1790067270.365522989,9.2,257,107,0.00,0.27,147,321,82,1322705,64.4,0
1790067271.435340934,7.5,257,107,0.00,0.04,147,321,82,1322705,64.4,0
1790067272.511368530,7.4,257,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067273.582291821,7.5,257,107,0.00,0.62,147,321,82,1322705,64.4,0
1790067274.659442749,7.4,257,107,0.00,0.17,147,321,82,1322705,64.4,0
1790067275.736099926,7.4,257,107,0.00,0.27,147,321,82,1322705,64.4,0
1790067276.808245390,7.5,257,107,0.00,0.17,147,321,82,1322705,64.4,0
1790067277.881104555,7.5,257,107,0.00,0.00,147,321,82,1322705,64.4,0
1790067278.944312272,7.5,257,107,0.00,0.50,147,321,82,1322705,64.4,0
1790067280.012472488,7.5,257,107,0.00,0.27,147,321,82,1322705,64.4,0
1790067281.085551622,6.5,257,107,0.00,0.70,147,321,82,1322705,64.4,0
1790067282.154398976,7.5,257,107,0.00,0.05,147,321,82,1322705,64.4,0
1790067283.227535403,6.5,257,107,0.02,0.27,147,321,82,1322705,64.4,0
1790067284.314415210,8.3,257,107,0.00,0.23,147,321,82,1322705,64.4,0
1790067285.389289183,7.4,257,107,0.00,0.05,147,321,82,1322705,64.4,0
1790067286.470905634,7.4,257,107,0.00,0.23,147,321,82,1322705,64.4,0
1790067287.554597390,7.4,257,107,0.00,0.03,147,321,82,1322705,64.4,0
1790067288.618650608,6.6,257,107,0.00,0.20,147,321,82,1322705,64.4,0
1790067289.693401052,6.5,257,107,0.00,0.29,147,321,82,1322705,64.4,0
1790067290.775404138,7.4,257,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067291.843272676,7.5,257,107,0.00,0.01,147,321,82,1322705,64.4,0
1790067292.920860312,7.4,257,107,0.00,0.07,147,321,82,1322705,64.4,0
1790067293.995259509,6.5,257,107,0.00,0.45,147,321,82,1322705,64.4,0
1790067295.066218247,8.4,257,107,0.00,0.35,147,321,82,1322705,64.4,0
1790067296.128867584,7.5,257,110,0.00,0.18,147,321,82,1322705,64.4,0
1790067297.203398386,6.5,257,110,0.00,0.27,147,321,82,1322705,64.4,0
1790067298.280970797,7.4,257,110,0.00,0.03,147,321,82,1322705,64.4,0
1790067299.361365802,6.5,257,110,0.00,0.16,147,321,82,1322705,64.4,0
1790067300.438066081,7.4,257,112,0.00,0.17,147,321,82,1322705,64.4,0
1790067301.506237466,6.6,257,113,0.00,0.29,147,321,82,1322705,64.4,0
1790067302.580791057,6.5,257,113,0.00,0.01,147,321,82,1322705,64.4,0
1790067303.659326583,7.4,257,113,0.00,0.17,147,321,82,1322705,64.4,0
1790067304.737738874,6.5,257,113,0.00,0.02,147,321,82,1322705,64.4,0
1790067305.811331913,6.5,257,113,0.00,0.58,147,321,82,1322705,64.4,0
1790067306.889987451,7.4,257,113,0.00,0.00,147,321,82,1322705,64.4,0
1790067307.971111442,6.5,257,113,0.00,0.00,147,321,82,1322705,64.4,0
1790067309.050113512,7.4,257,113,0.00,0.14,147,321,82,1322705,64.4,0
1790067310.121423550,6.5,257,113,0.00,0.16,147,321,82,1322705,64.4,0
1790067311.190693557,7.5,257,113,0.24,0.84,147,321,82,1322705,64.4,0
1790067312.266590581,6.5,257,113,0.00,0.15,147,321,82,1322705,64.4,0
1790067313.344911358,6.5,257,113,0.00,0.70,147,321,82,1322705,64.4,0
1790067314.427522214,7.4,257,113,0.00,0.24,147,321,82,1322705,64.4,0
1790067315.509467563,6.5,257,113,0.00,0.61,147,321,82,1322705,64.4,0
1790067316.574360226,7.5,257,113,0.00,0.02,147,321,82,1322705,64.4,0
1790067317.650435362,6.5,257,113,0.00,0.16,147,321,82,1322705,64.4,0
1790067318.724668216,7.4,257,113,0.12,0.00,147,321,82,1322705,64.4,0
1790067319.797326212,6.5,257,113,0.00,0.86,147,321,82,1322705,64.4,0
1790067320.868905291,8.4,257,113,0.00,0.02,147,321,82,1322705,64.4,0
1790067321.943765919,7.4,257,113,0.00,0.02,147,321,82,1322705,64.4,0
1790067323.012122800,7.5,257,113,0.00,0.35,147,321,82,1322705,64.4,0
1790067324.077478721,6.6,257,113,0.00,1.35,147,321,82,1322705,64.4,0
1790067325.155985366,7.4,257,113,0.00,0.01,147,321,82,1322705,64.4,0
1790067326.216946982,9.4,257,113,0.00,0.30,147,321,82,1322705,64.4,0
1790067327.290273441,8.4,257,113,0.00,0.27,147,321,82,1322705,64.4,0
1790067328.364420438,7.4,257,113,0.00,0.41,147,321,82,1322705,64.4,0
1790067329.442235064,7.4,257,113,0.00,0.19,147,321,82,1322705,64.4,0
1790067330.515012224,7.5,257,113,0.00,0.20,147,321,82,1322705,64.4,0
1790067331.592330925,7.4,257,113,0.00,0.01,147,321,82,1322705,64.4,0
1790067332.658475189,6.6,257,113,0.00,0.00,147,321,82,1322705,64.4,0
1790067333.732353463,8.4,257,113,0.00,0.44,147,321,82,1322705,64.4,0
1790067334.802960463,7.5,257,113,0.00,0.14,147,321,82,1322705,64.4,0
